date,docs,tokens,gambling_hits,restraint_hits,gdi
2015-04-30,5,87,0,0,0.000
2015-06-29,1,1,0,0,0.000
2015-08-21,2,80,0,0,0.000
2015-08-22,2,51,1,0,1.961
2015-08-25,2,6,0,0,0.000
2015-09-26,1,2,0,0,0.000
2015-11-25,1,2,0,0,0.000
2016-01-06,1,1,0,0,0.000
2016-01-20,1,52,0,0,0.000
2016-03-19,1,2,0,0,0.000
2016-03-30,3,145,0,0,0.000
2016-04-02,4,12,0,0,0.000
2016-04-13,5,122,0,0,0.000
2016-04-15,1,12,0,0,0.000
2016-05-06,2,13,0,0,0.000
2016-05-18,2,28,0,0,0.000
2016-06-13,2,7,0,0,0.000
2016-06-20,1,13,0,0,0.000
2016-06-22,1,15,0,0,0.000
2016-06-23,2,15,0,0,0.000
2016-06-27,2,23,1,0,4.348
2016-06-28,1,26,0,0,0.000
2016-07-02,4,23,0,0,0.000
2016-07-04,2,16,0,0,0.000
2016-07-07,1,13,0,0,0.000
2016-07-11,1,7,0,0,0.000
2016-07-12,1,8,0,0,0.000
2016-07-13,2,41,0,0,0.000
2016-07-14,4,30,1,0,3.333
2016-07-15,4,22,0,0,0.000
2016-07-17,1,3,0,0,0.000
2016-07-18,1,13,0,0,0.000
2016-07-19,1,8,0,0,0.000
2016-07-20,3,23,0,0,0.000
2016-07-21,1,12,0,0,0.000
2016-07-23,3,54,2,0,3.704
2016-07-25,3,26,0,0,0.000
2016-07-28,3,21,0,0,0.000
2016-07-29,1,2,0,0,0.000
2016-08-02,3,22,0,0,0.000
2016-08-25,1,15,0,0,0.000
2016-09-07,1,11,0,0,0.000
2016-09-27,1,5,0,0,0.000
2016-11-14,2,12,0,0,0.000
2016-11-15,1,11,0,0,0.000
2016-11-21,2,12,0,0,0.000
2016-12-01,1,5,0,0,0.000
2017-01-09,2,75,3,0,4.000
2017-01-10,15,242,1,0,0.413
2017-01-11,5,114,0,0,0.000
2017-02-02,1,8,0,0,0.000
2017-02-26,1,10,0,0,0.000
2017-03-24,1,7,0,0,0.000
2017-04-10,2,11,0,0,0.000
2017-04-11,5,71,0,0,0.000
2017-04-12,2,15,0,0,0.000
2017-04-13,1,2,0,0,0.000
2017-04-14,1,4,0,0,0.000
2017-04-15,1,38,0,0,0.000
2017-04-17,1,3,0,0,0.000
2017-04-23,1,3,0,0,0.000
2017-07-19,1,7,0,0,0.000
2017-08-02,1,17,0,0,0.000
2017-08-18,1,8,0,0,0.000
2017-12-01,6,217,2,0,0.922
2017-12-02,12,409,0,0,0.000
2017-12-03,2,78,1,0,1.282
2018-02-01,1,24,0,0,0.000
2018-02-06,1,19,0,0,0.000
2018-02-09,1,16,0,0,0.000
2018-03-10,1,13,0,0,0.000
2018-03-12,1,35,0,0,0.000
2018-05-02,17,225,0,0,0.000
2018-05-03,14,124,0,0,0.000
2018-05-04,14,204,0,0,0.000
2018-05-05,5,35,0,0,0.000
2018-05-06,2,23,0,0,0.000
2018-05-07,7,76,0,0,0.000
2018-05-08,2,22,0,0,0.000
2018-05-10,3,247,0,0,0.000
2018-05-17,2,14,0,0,0.000
2018-05-21,1,21,0,0,0.000
2018-06-08,4,36,0,0,0.000
2018-06-11,3,61,0,0,0.000
2018-06-12,2,15,0,0,0.000
2018-06-21,2,19,0,0,0.000
2018-06-22,1,19,0,0,0.000
2018-06-27,4,43,0,0,0.000
2018-07-11,3,24,0,0,0.000
2018-07-17,7,54,0,0,0.000
2018-07-27,1,7,0,0,0.000
2018-08-02,17,223,0,0,0.000
2018-08-06,9,95,0,0,0.000
2018-08-07,3,42,0,0,0.000
2018-08-18,6,131,0,0,0.000
2018-09-07,1,8,0,0,0.000
2018-09-11,2,18,0,0,0.000
2018-09-12,2,19,0,0,0.000
2018-09-13,2,48,0,0,0.000
2018-11-30,1,3,0,0,0.000
2018-12-07,2,16,0,0,0.000
2018-12-09,1,43,0,0,0.000
2018-12-10,1,25,0,0,0.000
2018-12-20,1,7,0,0,0.000
2018-12-22,1,2,0,0,0.000
2018-12-25,1,24,0,0,0.000
2018-12-26,2,28,1,0,3.571
2019-01-01,9,70,0,0,0.000
2019-01-02,6,49,0,0,0.000
2019-01-15,6,46,0,0,0.000
2019-02-25,2,41,0,0,0.000
2019-02-26,1,32,0,0,0.000
2019-02-27,4,82,0,0,0.000
2019-04-09,1,6,0,0,0.000
2019-04-26,6,133,0,0,0.000
2019-05-06,1,5,0,0,0.000
2019-05-09,3,31,0,1,0.000
2019-05-24,1,6,0,0,0.000
2019-06-22,1,9,0,0,0.000
2019-07-22,1,12,0,0,0.000
2019-07-25,1,8,0,0,0.000
2019-10-11,1,8,0,0,0.000
2019-10-21,1,5,0,0,0.000
2019-12-08,1,8,0,0,0.000
2019-12-16,2,23,0,0,0.000
2019-12-26,1,5,0,0,0.000
2019-12-30,2,9,0,0,0.000
2020-01-01,1,30,0,0,0.000
2020-02-05,1,22,0,0,0.000
2020-02-10,1,5,0,0,0.000
2020-02-19,1,9,0,0,0.000
2020-02-26,1,8,0,0,0.000
2020-02-27,2,36,0,0,0.000
2020-02-28,1,14,0,0,0.000
2020-03-10,1,39,0,0,0.000
2020-03-12,1,2,0,0,0.000
2020-03-19,4,58,0,0,0.000
2020-04-15,1,3,0,0,0.000
2020-05-06,2,17,0,0,0.000
2020-05-07,1,4,0,0,0.000
2020-06-03,1,8,0,0,0.000
2020-07-09,1,3,0,0,0.000
2021-02-10,2,31,0,0,0.000
2021-02-12,1,19,0,0,0.000
2021-02-18,3,46,0,0,0.000
2021-02-19,1,8,0,0,0.000
2021-02-20,5,37,0,0,0.000
2021-02-22,2,21,0,0,0.000
2021-02-23,2,17,0,0,0.000
2021-02-24,3,18,0,0,0.000
2021-02-25,1,5,0,0,0.000
2021-02-26,3,26,0,0,0.000
2021-03-01,6,17,0,0,0.000
2021-03-02,5,13,0,0,0.000
2021-03-12,1,3,0,0,0.000
2021-03-13,2,4,0,0,0.000
2021-03-14,5,19,0,0,0.000
2021-03-15,2,4,0,0,0.000
2021-03-19,3,11,0,0,0.000
2021-03-23,1,3,0,0,0.000
2021-03-30,2,7,0,0,0.000
2021-03-31,2,10,0,0,0.000
2021-04-01,3,15,0,0,0.000
2021-04-06,1,2,0,0,0.000
2021-05-27,1,1,0,0,0.000
2021-06-01,1,1,0,0,0.000
2021-06-16,1,1,0,0,0.000
2021-07-06,2,13,0,0,0.000
2021-07-26,2,11,0,0,0.000
2021-07-30,3,15,0,0,0.000
2021-07-31,2,7,0,0,0.000
2021-08-03,2,7,0,0,0.000
2021-08-05,2,8,0,0,0.000
2021-08-07,2,5,0,0,0.000
2021-11-03,1,35,0,0,0.000
2021-11-17,2,35,0,0,0.000
